issue_id,text_id,text,code,label
1482681,6,Attached file Bug 1482681 - Fix load iframe in tab context menu. — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1485422,3,Attached image wip screenshot — Details,AUTO_ATTACH_SCREENSHOT,0
1506200,5,"Attached file Bug 1506200 - Remove ReadableStream EmbeddingFlags. r?baku,jwalden — Details",AUTO_ATTACH_CODE_IMPLEMENTATION,0
1510786,14,Attached file dav1d-build-bug-ppc64-s390x — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1510786,18,Attached file Bug 1510786 - Add configuration header for ppc64 and s390x. r?glandium — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1515665,18,Attached patch part 1 - partitioned storage renamed (obsolete) — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1515665,20,Attached patch part 3 - reject_cookie policy (obsolete) — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1515665,21,Attached patch part 4 - tests (obsolete) — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1515665,26,Attached patch part 2 - SessionStorage and ePartitionedOrDeny (obsolete) — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1515665,27,Attached patch part 3 - tests (obsolete) — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1515665,32,Attached patch part 4 - tests — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1515665,40,Attached patch part 1 - exposed PartitionedOrDeny differently — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1565273,30,Attached patch bug_1565273_beta.diff (obsolete) — Details — Splinter Review,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1565273,33,Attached file Bug 1565273 - Remove unnecessary console.logs. r?mak — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1820814,3,Attached file Bug 1820814: Dispatch these DisconnectIfExists calls to the call thread. r?pehrsons — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1818468,2,Attached file Bug 1818468 - Throw `signal.reason` when already aborted in `navigator.locks.request` r=evilpie — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1811466,2,Attached video Video of the bad behaviour and the correct one — Details,AUTO_ATTACH_SCREENSHOT,0
1811466,8,Attached file Bug 1811466 - Restore menubar activation behavior from before bug 1811466. r=smaug — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1809080,6,Attached file pr 15907: Fix pinch-to-zoom on a macbook trackpad (bug 1809080) — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1794406,3,"Attached file Bug 1794406 - Report more specific error messages when buffer.mapAsync fails. r=jgilbert,jimb — Details",AUTO_ATTACH_CODE_IMPLEMENTATION,0
1792203,2,Attached file Bug 1792203 - Add gtest coverage for AsyncBlockers r?nika! — Details,AUTO_ATTACH_CODE_IMPLEMENTATION,0
1790543,4,Attached file Detailed Crash Information — Details,AUTO_ATTACH_STACK_TRACE,0
1790543,5,Attached file Testcase — Details,AUTO_ATTACH_TEST_CASES,0
